item_name,category,date,daily_customer_demand,stock_remaining,holiday_spike,restock_trigger
Apple,Fruits,2020-01-01,28,282,False,False
Apple,Fruits,2020-01-02,24,258,False,False
Apple,Fruits,2020-01-03,21,237,False,False
Apple,Fruits,2020-01-04,22,215,False,False
Apple,Fruits,2020-01-05,28,187,False,False
Apple,Fruits,2020-01-06,28,159,False,False
Apple,Fruits,2020-01-07,31,128,False,False
Apple,Fruits,2020-01-08,22,106,False,False
Apple,Fruits,2020-01-09,21,85,False,False
Apple,Fruits,2020-01-10,20,65,False,True
Apple,Fruits,2020-01-11,27,394,False,False
Apple,Fruits,2020-01-12,21,373,False,False
Apple,Fruits,2020-01-13,31,342,False,False
Apple,Fruits,2020-01-14,38,304,False,False
Apple,Fruits,2020-01-15,31,273,False,False
Apple,Fruits,2020-01-16,10,263,False,False
Apple,Fruits,2020-01-17,24,239,False,False
Apple,Fruits,2020-01-18,20,219,False,False
Apple,Fruits,2020-01-19,22,197,False,False
Apple,Fruits,2020-01-20,19,178,False,False
Apple,Fruits,2020-01-21,46,132,False,False
Apple,Fruits,2020-01-22,31,101,False,False
Apple,Fruits,2020-01-23,14,87,False,False
Apple,Fruits,2020-01-24,20,67,False,True
Apple,Fruits,2020-01-25,22,565,False,False
Apple,Fruits,2020-01-26,21,544,False,False
Apple,Fruits,2020-01-27,15,529,False,False
Apple,Fruits,2020-01-28,19,510,False,False
Apple,Fruits,2020-01-29,16,494,False,False
Apple,Fruits,2020-01-30,26,468,False,False
Apple,Fruits,2020-01-31,19,449,False,False
Apple,Fruits,2020-02-01,22,427,False,False
Apple,Fruits,2020-02-02,18,409,False,False
Apple,Fruits,2020-02-03,31,378,False,False
Apple,Fruits,2020-02-04,30,348,False,False
Apple,Fruits,2020-02-05,19,329,False,False
Apple,Fruits,2020-02-06,32,297,False,False
Apple,Fruits,2020-02-07,22,275,False,False
Apple,Fruits,2020-02-08,16,259,False,False
Apple,Fruits,2020-02-09,33,226,False,False
Apple,Fruits,2020-02-10,26,200,False,False
